,,,,,,,,,,
,Graduated Cylinder,GC-10,*GC-10*,,Functioning,250 ml,AMTEC UPLB,,OFFICE,
,Graduated Cylinder,GC-11,*GC-11*,,Functioning,,AMTEC UPLB,,OFFICE,
,Graduated Cylinder,GC-12,*GC-12*,,Functioning,1L,AMTEC UPLB,,OFFICE,
,Graduated Cylinder,GC-13,*GC-13*,,Functioning,1L,AMTEC UPLB,,MECH LAB,
,Graduated Cylinder,GC-14,*GC-14*,,Functioning,1L,AMTEC UPLB,,MECH LAB,
,Graduated Cylinder,GC-15,*GC-15*,,Functioning,,AMTEC UPLB,,OFFICE,
,Graduated Cylinder,GC-16,*GC-16*,,Functioning,1L,AMTEC UPLB,,MECH LAB,
,Graduated Cylinder,GC-17,*GC-17*,,Functioning,1L,On trip,,OFFICE,
,Graduated Cylinder,GC-18,*GC-18*,,Functioning,1L,AMTEC UPLB,,MECH LAB,
,Graduated Cylinder,GC-19,*GC-19*,,Functioning,1L,AMTEC UPLB,,OFFICE,
,Graduated Cylinder,GC-20,*GC-20*,,Functioning,1L,AMTEC UPLB,,Mech Lab,
,Graduated Cylinder,GC-21,*GC-21*,,Functioning,1L,AMTEC UPLB,,OFFICE,
,Graduated Cylinder,GC-22,*GC-22*,,Functioning,2L,On trip,,OFFICE,
,Graduated Cylinder,GC-23,*GC-23*,,Functioning,2L,On trip,,OFFICE,
,Graduated Cylinder,GC-24,*GC-24*,,Functioning,2L,AMTEC UPLB,,OFFICE,
,Graduated Cylinder,GC-25,*GC-25*,,Functioning,2L,AMTEC UPLB,,MECH LAB,
,Graduated Cylinder,GC-26,*GC-26*,,Functioning,2L,AMTEC UPLB,,OFFICE,
,Graduated Cylinder,GC-27,*GC-27*,,Functioning,2L,AMTEC UPLB,,MECH LAB,
,Graduated Cylinder,GC-28,*GC-28*,,Functioning,2L,AMTEC UPLB,,OFFICE,
,Graduated Cylinder,GC-29,*GC-29*,,Functioning,2L,AMTEC UPLB,,MECH LAB,
,Graduated Cylinder,GC-30,*GC-30*,,Functioning,2L,AMTEC UPLB,,OFFICE,
,Graduated Cylinder,GC-31,*GC-31*,,Functioning,2L,AMTEC UPLB,,OFFICE,
,Grain Moisture Meter,GMM-01,*GMM-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,Grain Moisture Meter,GMM-02,*GMM-02*,CB32770,Functioning,,AMTEC UPLB,,OFFICE,
,Grain Moisture Meter,GMM-03,*GMM-03*,CC22381,Functioning,,AMTEC UPLB,,OFFICE,
,Grain Moisture Meter,GMM-04,*GMM-04*,CC22384,Functioning,,On trip,,OFFICE,
,Grain Moisture Meter,GMM-05,*GMM-05*,CC22385,Functioning,,AMTEC UPLB,,OFFICE,
,Grain Moisture Meter,GMM-06,*GMM-06*,CC22386,Functioning,,AMTEC UPLB,,OFFICE,
,Grain Moisture Meter,GMM-07,*GMM-07*,CC22382,Functioning,,On trip,,OFFICE,
,Grain Moisture Meter,GMM-08,*GMM-08*,CC22383,Functioning,for retagging,On trip,,OFFICE,
,Hard Case,HC-01,*HC-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,Hard Case,HC-02,*HC-02*,,Functioning,,On trip,,OFFICE,
,Hard Case,HC-03,*HC-03*,,Functioning,,AMTEC UPLB,,OFFICE,
,Hard Case,HC-04,*HC-04*,,Functioning,,On trip,,OFFICE,
,Hygrometer,THM-01,*THM-01*,36231209,Functioning,,AMTEC UPLB,,OFFICE,
,Hygrometer,THM-02,*THM-02*,36231208,Functioning,,AMTEC UPLB,,OFFICE,
,Hygrometer,THM-03,*THM-03*,36231210,Functioning,,On trip,,OFFICE,
,Hygrometer,THM-04,*THM-04*,36231206,Functioning,,On trip,,OFFICE,
,Hygrometer,THM-05,*THM-05*,41070286,Functioning,,On trip,,OFFICE,
,Hygrometer,THM-06,*THM-06*,51141983,For Repair,Fahrenheit reading only,AMTEC UPLB,,OFFICE,
,Hygrometer,THM-07,*THM-07*,58071518,Functioning,damaged sensor guard,AMTEC UPLB,,OFFICE,
,Hygrometer,THM-08,*THM-08*,FNLO3QU49RC,Functioning,,AMTEC UPLB,,MECH LAB,
,Hygrometer,THM-09,*THM-09*,FNLO44G4RLF,Functioning,damaged sensor guard,AMTEC UPLB,,OFFICE,
,Hygrometer,THM-10,*THM-10*,FNLO1VXUWTQ,Functioning,,On trip,,OFFICE,
,Hygrometer,THM-11,*THM-11*,FNLO2JDNED6,Functioning,,AMTEC UPLB,,MECH LAB,
,Hygrometer,THM-12,*THM-12*,12001009,Functioning,,AMTEC UPLB,,OFFICE,
,Infrared Thermometer,IFT-01,*IFT-01*,60731035WS,Functioning,,AMTEC UPLB,,MECH LAB,
,Infrared Thermometer,IFT-02,*IFT-02*,60731144WS,Functioning,,AMTEC UPLB,Jerome,OFFICE,
,Leveler,no code,*no code*,,Functioning,,On trip,,OFFICE,
,Leveler,LV-01,*LV-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,Leveler,LV-02,*LV-02*,,Functioning,,AMTEC UPLB,,OFFICE,
,Line Laser Level,LLL-01,*LLL-01*,"0 601 063 M80
901000144",Functioning,,AMTEC UPLB,,MECH LAB,
,Load cell,-,*-*,,Functioning,,AMTEC UPLB,,OFFICE,
